data,gold
20100826,1238.9
20100827,1237.9
20100829,1238.1
20100830,1237.8
20100831,1249.8
20100901,1249
20100902,1253.1
20100903,1251.1
20100905,1250.1
20100906,1251.1
20100907,1259.3
20100908,1258
20100909,1248.5
20100910,1246.5
20100912,1247
20100913,1250.4
20100914,1270.3
20100915,1268.4
20100916,1278.1
20100917,1277.5
20100919,1281.9
20100920,1280.6
20100921,1289.6
20100922,1292.6
20100923,1295.5
20100924,1298.1
20100926,1298.5
20100927,1293.9
20100928,1312.6
20100929,1309.4
20100930,1311.4
20101001,1320
20101003,1319.2
20101004,1319.2
20101005,1349.2
20101006,1353.5
20101007,1335.6
20101008,1347.9
20101010,1353.2
20101011,1350
20101012,1357.3
20101013,1381.2
20101014,1380.5
20101015,1369.8
20101017,1361.4
20101018,1367.3
20101019,1341.6
20101020,1341.8
20101021,1327
20101022,1327.9
20101024,1339.1
20101025,1338.5
20101026,1335.4
20101027,1326.7
20101028,1339.9
20101029,1359.8
20101031,1361.5
20101101,1355.5
20101102,1355.2
20101103,1355.5
20101104,1389.4
20101105,1393.9
20101107,1390.8
20101108,1412.1
20101109,1398.7
20101110,1407.3
20101111,1385.8
20101112,1368.3
20101114,1363.9
20101115,1361.3
20101116,1338
20101117,1352
20101118,1354
20101119,1353.6
20101121,1361.3
20101122,1359.1
20101123,1376.1
20101124,1371.1
20101125,1369.7
20101126,1363.5
20101128,1361.8
20101129,1365.2
20101130,1393.7
20101201,1393.1
20101202,1392.4
20101203,1416
20101205,1414.6
20101206,1422.8
20101207,1392.1
20101208,1388.8
20101209,1392
20101210,1385.5
20101213,1404.9
20101214,1393.9
20101215,1382.3
20101216,1375.6
20101217,1376.1
20101219,1384.5
20101220,1386.7
20101221,1389.7
20101222,1387.8
20101223,1379.1
20101226,1385.5
20101227,1392.1
20101228,1406.6
20101229,1414.8
20101230,1409
20101231,1422
20110102,1420.2
20110103,1415.9
20110105,1377.2
20110106,1369.4
20110107,1369.7
20110109,1373.5
20110110,1376.4
20110111,1384
20110112,1385.5
20110113,1377.5
20110114,1361.4
20110116,1363.5
20110117,1364.8
20110118,1374.3
20110119,1367.7
20110120,1345.1
20110121,1341.9
20110123,1351.4
20110124,1332.2
20110125,1333.1
20110126,1344.3
20110127,1312.1
20110128,1339.1
20110130,1335.3
20110131,1337.9
20110201,1340.6
20110202,1332.9
20110203,1351.8
20110204,1349.1
20110206,1348.8
20110207,1351.2
20110208,1364.3
20110209,1361.5
20110210,1362.4
20110211,1356.7
20110213,1359.4
20110214,1365.8
20110215,1374.1
20110216,1377.5
20110217,1385.4
20110218,1389.4
20110220,1394.9
20110221,1402.3
20110222,1398.8
20110223,1411.4
20110224,1407.5
20110225,1410
20110227,1414.2
20110228,1414.1
20110301,1430.8
20110302,1431.9
20110303,1418.8
20110304,1433.1
20110306,1437.7
20110307,1430.2
20110308,1425.4
20110309,1430.6
20110310,1414.6
20110311,1419.6
20110314,1412.6
20110315,1397.9
20110316,1393.3
20110317,1410.7
20110318,1419.3
20110320,1426.3
20110321,1429.1
20110322,1427
20110323,1438.1
20110324,1433.8
20110325,1429.9
20110327,1426
20110328,1419.6
20110329,1418.3
20110330,1426.8
20110331,1434.4
20110401,1429.2
20110404,1439.6
20110405,1455.5
20110406,1455.6
20110407,1467.4
20110408,1476.4
20110410,1476
20110411,1457.7
20110412,1458.4
20110413,1460.1
20110414,1475.6
20110415,1487.1
20110417,1487.5
20110418,1489.2
20110419,1499.4
20110420,1506.5
20110421,1504.9
20110424,1516.7
20110425,1498.3
20110426,1509.4
20110427,1532.2
20110428,1533.9
20110429,1565.8
20110501,1549.4
20110502,1549.9
20110503,1532.4
20110504,1521.6
20110505,1485.1
20110506,1495.2
20110508,1504.1
20110509,1510.2
20110510,1523.2
20110511,1504.1
20110512,1503.8
20110513,1494.2
20110515,1490
20110516,1494.1
20110517,1492.2
20110518,1497.3
20110519,1496.7
20110520,1513.6
20110522,1510.9
20110523,1517.8
20110524,1524.5
20110525,1529.5
20110526,1525.4
20110527,1536.5
20110529,1535.3
20110530,1537.3
20110531,1531.6
20110601,1541
20110602,1531.5
20110603,1543.6
20110605,1547.5
20110606,1545.9
20110607,1542
20110608,1536.7
20110609,1542.6
20110610,1532.5
20110612,1531.5
20110613,1521.3
20110614,1525.3
20110615,1527.5
20110616,1527.1
20110617,1539.8
20110619,1536.8
20110620,1542.8
20110621,1547.1
20110622,1547.9
20110623,1524
20110624,1502.8
20110626,1500.5
20110627,1499.5
20110628,1505.1
20110629,1513.7
20110630,1501.5
20110701,1486.7
20110703,1493.3
20110704,1495
20110705,1516.7
20110706,1531.9
20110707,1531.6
20110708,1544.6
20110710,1546.3
20110711,1552
20110712,1565.7
20110713,1584
20110714,1584
20110715,1594.5
20110717,1597.9
20110718,1604.7
20110719,1591.7
20110720,1602
20110721,1589.3
20110722,1599.6
20110724,1615
20110725,1614.4
20110726,1622.2
20110727,1615
20110728,1614.5
20110729,1629
20110731,1616.8
20110801,1625.4
20110802,1660.3
20110803,1666.9
20110804,1660.2
20110805,1665.8
20110807,1702.9
20110808,1759
20110809,1755.7
20110810,1790.1
20110811,1765.3
20110812,1749.1
20110814,1745.3
20110815,1767.2
20110816,1787.4
20110817,1793.1
20110818,1845.4
20110819,1855.3
20110821,1879.6
20110822,1906.6
20110823,1848.6
20110824,1737.1
20110825,1776.7
20110826,1831.7
20110828,1825.1
20110829,1794.8
20110830,1836.4
20110831,1826.6
20110901,1831.5
20110902,1886.7
20110904,1879.5
20110905,1915.4
20110906,1849.4
20110907,1834.2
20110908,1865.2
20110909,1861.2
20110911,1857.4
20110912,1834.5
20110913,1837.2
20110914,1812.5
20110915,1769.1
20110916,1814.9
20110918,1824.5
20110919,1782
20110920,1816.2
20110921,1780.6
20110922,1738.2
20110923,1659.9
20110925,1616.7
20110926,1639.2
20110927,1644.5
20110928,1621.9
20110929,1626.9
20110930,1626.5
20111002,1632.9
20111003,1666.2
20111004,1630.9
20111005,1646
20111006,1662.3
20111007,1642.2
20111009,1653.2
20111010,1681.8
20111011,1667.6
20111012,1679.1
20111013,1666.7
20111014,1681.8
20111016,1684.3
20111017,1672.9
20111018,1661
20111019,1620.5
20111020,1624.6
20111021,1643
20111023,1647.8
20111024,1657.5
20111025,1715
20111026,1723.1
20111027,1745.9
20111028,1743.5
20111030,1714.1
20111031,1719.6
20111101,1723.3
20111102,1731.8
20111103,1760.7
20111104,1755.3
20111106,1773.1
20111107,1794.5
20111108,1791.1
20111109,1762
20111110,1768.5
20111111,1789
20111113,1794
20111114,1773.4
20111115,1764.9
20111116,1765.9
20111117,1724.3
20111118,1726
20111120,1722.2
20111121,1684.6
20111122,1709.9
20111123,1694
20111124,1688.5
20111125,1681
20111127,1706.9
20111128,1713.7
20111129,1721.4
20111130,1749.3
20111201,1749.2
20111202,1749.1
20111204,1748.2
20111205,1717.5
20111206,1732.8
20111207,1740.9
20111208,1714.3
20111209,1714.9
20111211,1694.4
20111212,1657.6
20111213,1642.6
20111214,1571.5
20111215,1589.1
20111216,1601.5
20111218,1589.5
20111219,1599.7
20111220,1626.5
20111221,1606.2
20111222,1611.9
20111223,1608.7
20111226,1597.5
20111227,1590.1
20111228,1554.6
20111229,1556.3
20111230,1567
20120102,1585.1
20120103,1599.8
20120104,1619.9
20120105,1624.8
20120106,1617.4
20120108,1611.8
20120109,1621
20120110,1637.6
20120111,1645.6
20120112,1645.9
20120113,1640.3
20120115,1640.3
20120116,1658.4
20120117,1655.6
20120118,1662.7
20120119,1655.9
20120120,1667
20120122,1670.7
20120123,1675.1
20120124,1667.2
20120125,1709.4
20120126,1718.6
20120127,1737.6
20120129,1730.1
20120130,1736.4
20120131,1740.5
20120201,1749.2
20120202,1760.8
20120203,1728.5
20120205,1737.3
20120206,1724.1
20120207,1751.1
20120208,1737.6
20120209,1734.9
20120210,1719.6
20120212,1729.2
20120213,1718.9
20120214,1728.8
20120215,1722
20120216,1734.9
20120217,1725.2
20120219,1736.8
20120220,1741.1
20120221,1757.4
20120222,1774.7
20120223,1778.2
20120224,1775
20120226,1775.2
20120227,1773.5
20120228,1788.7
20120229,1721.8
20120301,1721
20120302,1712.4
20120304,1712.9
20120305,1703
20120306,1676.6
20120307,1689
20120308,1704.7
20120309,1713.4
20120311,1705.2
20120312,1704.2
20120313,1680.3
20120314,1641.3
20120315,1659.3
20120316,1660.5
20120318,1662.3
20120319,1657.2
20120320,1652.3
20120321,1648.6
20120322,1645.3
20120323,1661.1
20120325,1661.4
20120326,1688.1
20120327,1676.5
20120328,1658.9
20120329,1662.8
20120330,1670.7
20120401,1669.8
20120402,1680
20120403,1644.5
20120404,1624.8
20120405,1632
20120408,1642.8
20120409,1653.2
20120410,1657.4
20120411,1658.7
20120412,1674.9
20120413,1659.8
20120415,1646
20120416,1649.4
20120417,1652.9
20120418,1638.8
20120419,1644.7
20120420,1643.3
20120422,1642.8
20120423,1637
20120424,1642.5
20120425,1646.9
20120426,1656.7
20120427,1662.6
20120429,1665.1
20120430,1666.6
20120501,1659.9
20120502,1649.2
20120503,1634.5
20120504,1643.1
20120506,1638.5
20120507,1636.7
20120508,1590.7
20120509,1594.9
20120510,1585.8
20120511,1579.9
20120513,1580.5
20120514,1553.7
20120515,1536.1
20120516,1547.5
20120517,1573.9
20120518,1591.8
20120520,1597.3
20120521,1588.7
20120522,1559.8
20120523,1556.9
20120524,1552.5
20120525,1573.1
20120527,1577
20120528,1573.3
20120529,1547.1
20120530,1561.3
20120531,1558.8
20120601,1627.6
20120603,1622.1
20120604,1621.2
20120605,1627.2
20120606,1623
20120607,1573
20120608,1595.1
20120610,1599.3
20120611,1592.5
20120612,1610.5
20120613,1624.3
20120614,1626
20120615,1628.3
20120617,1623.8
20120618,1629.6
20120619,1621.4
20120620,1603.3
20120621,1566
20120622,1573.1
20120624,1574.3
20120625,1584.1
20120626,1572.2
20120627,1575.7
20120628,1563.4
20120629,1598.6
20120701,1593.8
20120702,1603
20120703,1617.2
20120704,1616.3
20120705,1603.4
20120706,1583
20120708,1581.8
20120709,1586.2
20120710,1574
20120711,1570.8
20120712,1570.3
20120713,1588.1
20120715,1589.9
20120716,1591.8
20120717,1580.8
20120718,1577.5
20120719,1582.2
20120720,1582.7
20120722,1577.4
20120723,1576.7
20120724,1583.2
20120725,1603
20120726,1615.2
20120727,1622.8
20120729,1620.7
20120730,1622.8
20120731,1617.7
20120801,1604.4
20120802,1591.9
20120803,1607
20120805,1610.7
20120806,1614.3
20120807,1612.1
20120808,1618.7
20120809,1614.4
20120810,1623.1
20120812,1626.5
20120813,1614.7
20120814,1604
20120815,1605.4
20120816,1617.9
20120817,1617.5
20120819,1621.4
20120820,1624.7
20120821,1641.4
20120822,1665.5
20120823,1669.3
20120824,1673.4
20120826,1677.4
20120827,1662.7
20120828,1671.3
20120829,1659.1
20120830,1657.9
20120831,1692.6
20120902,1693.6
20120903,1697.4
20120904,1694.3
20120905,1699.2
20120906,1694.7
20120907,1737.6
20120909,1740.4
20120910,1731.9
20120911,1738.1
20120912,1733.6
20120913,1779.8
20120914,1773.5
20120916,1777.2
20120917,1758.4
20120918,1774.1
20120919,1766.4
20120920,1774.3
20120921,1774.8
20120923,1763.8
20120924,1767.2
20120925,1764.6
20120926,1757.8
20120927,1783.9
20120928,1773.5
20120930,1768.1
20121001,1780
20121002,1776.5
20121003,1784.6
20121004,1796.2
20121005,1783
20121007,1773.4
20121008,1780.2
20121009,1765.6
20121010,1766.2
20121011,1770.3
20121012,1755.4
20121014,1746
20121015,1738.7
20121016,1752.4
20121017,1750.5
20121018,1738.2
20121019,1721.6
20121021,1726.6
20121022,1725
20121023,1711.8
20121024,1708.3
20121025,1706
20121026,1711.6
20121028,1715.5
20121029,1711.5
20121030,1711.8
20121031,1721.9
20121101,1708.9
20121102,1678.4
20121104,1679.4
20121105,1686.1
20121106,1723.5
20121107,1718.6
20121108,1737.4
20121109,1730.7
20121111,1735.2
20121112,1725.9
20121113,1728.2
20121114,1725.1
20121115,1713.6
20121116,1713.8
20121118,1721.7
20121119,1734.1
20121120,1723.9
20121121,1731
20121122,1730
20121123,1751.8
20121125,1750.5
20121126,1750.1
20121127,1738.9
20121128,1719.3
20121129,1732.5
20121130,1716.6
20121202,1721.2
20121203,1702.2
20121204,1703.2
20121205,1690
20121206,1702.8
20121207,1705.9
20121209,1709.9
20121210,1710.8
20121211,1712.1
20121212,1699.4
20121213,1698.9
20121214,1697.5
20121216,1692.2
20121217,1703.6
20121218,1675.7
20121219,1668.7
20121220,1644.4
20121221,1658.3
20121223,1660.3
20121224,1659
20121225,1656
20121226,1657.1
20121227,1663.1
20121228,1657.6
20121230,1664.1
20121231,1675.6
20130101,1680.4
20130102,1687
20130103,1652
20130104,1657.9
20130106,1661.5
20130107,1649.7
20130108,1662
20130109,1657.6
20130110,1672.1
20130111,1662.3
20130113,1666.4
20130114,1670.9
20130115,1682.2
20130116,1678.5
20130117,1690.7
20130118,1684.6
20130120,1689.6
20130121,1694.2
20130122,1691.9
20130123,1678.1
20130124,1668.8
20130125,1658.4
20130127,1659.7
20130128,1660.3
20130129,1665.6
20130130,1679.5
20130131,1662.9
20130201,1668.5
20130203,1672.7
20130204,1676.6
20130205,1674
20130206,1681.2
20130207,1672.8
20130208,1667.7
20130210,1668.3
20130211,1647
20130212,1649.9
20130213,1645.8
20130214,1633.3
20130215,1610.3
20130217,1615
20130218,1613.5
20130219,1606.5
20130220,1563
20130221,1585.9
20130222,1580.4
20130224,1585.8
20130225,1592.7
20130226,1609.9
20130227,1598.8
20130228,1578.9
20130301,1575.8
20130303,1578.3
20130304,1580.8
20130305,1577.9
20130306,1582.6
20130307,1576.8
20130308,1578.2
20130310,1579.5
20130311,1582.6
20130312,1591.7
20130313,1586.1
20130314,1590.4
20130315,1591.3
20130317,1597
20130318,1604.4
20130319,1612.4
20130320,1607.1
20130321,1613.2
20130322,1607.5
20130324,1609.3
20130325,1600.5
20130326,1598.3
20130327,1605.6
20130328,1596
20130331,1598.2
20130401,1602.6
20130402,1568.3
20130403,1546.3
20130404,1551.3
20130405,1581.8
20130407,1578
20130408,1576.4
20130409,1585.6
20130410,1560
20130411,1560.5
20130412,1476.1
20130414,1446.9
20130415,1365.9
20130416,1377
20130417,1367.8
20130418,1397.9
20130419,1407
20130421,1422
20130422,1427.1
20130423,1426.4
20130424,1446.3
20130425,1473.4
20130426,1462.2
20130428,1468.8
20130429,1468.3
20130430,1474.2
